"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201504,2015-04-01,"South Carolina",3801,4884481.33333333,3801,0,0,4884481.33333333,0,0,3801,0,0
201504,2015-04-01,"South Dakota",658,853830.833333333,658,0,0,853830.833333333,0,0,658,0,0
201504,2015-04-01,"Tennessee",5328,6586897.83333333,5328,0,0,6586897.83333333,0,0,5328,0,0
201504,2015-04-01,"Texas",15466,27384291.1666667,15466,0,0,27384291.1666667,0,0,15466,-1.81898940354586e-12,-6.64245567823938e-15
201504,2015-04-01,"Utah",1404,2976076.16666667,1404,0,0,2976076.16666667,0,0,1404,0,0
201504,2015-04-01,"Vermont",540,625790.5,540,0,0,625790.5,0,0,540,0,0
201504,2015-04-01,"Virginia",5392,8358657.5,5392,0,0,8358657.5,0,0,5392,0,0
201504,2015-04-01,"Washington",4448,7148994.33333333,4448,0,0,7148994.33333333,0,0,4448,0,0
201504,2015-04-01,"West Virginia",1944,1844538.16666667,1944,0,0,1844538.16666667,0,0,1944,0,0
201504,2015-04-01,"Wisconsin",4392,5761305.66666667,4392,0,0,5761305.66666667,0,0,4392,0,0
201504,2015-04-01,"Wyoming",400,585850.666666667,400,0,0,585850.666666667,0,0,400,0,0
201505,2015-05-01,"Alabama",4132,4853880.83333333,4132,0,0,4853880.83333333,0,0,4132,0,0
201505,2015-05-01,"Alaska",394,738317.083333333,394,0,0,738317.083333333,0,0,394,0,0
201505,2015-05-01,"Arizona",4521,6824481.91666667,4521,0,0,6824481.91666667,0,0,4521,0,0
201505,2015-05-01,"Arkansas",2689,2978817.58333333,2689,0,0,2978817.58333333,0,0,2689,0,0
201505,2015-05-01,"California",21330,38877830.1666667,21330,0,0,38877830.1666667,0,0,21330,0,0
201505,2015-05-01,"Colorado",3033,5445853.75,3033,0,0,5445853.75,0,0,3033,-4.54747350886464e-13,-8.35034086044753e-15
